close,high,low,open,symbol,volume,id,key,date,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent
280,280.64,270.88,271.83,SE,3561234,HISTORICAL_PRICES,SE,2/19/2021,1.61379E+12,0.428134245,0.428134245,271.83,280,280.64,270.88,3561234,271.83,280,280.64,270.88,3561234,19-Feb-21,12.5,0.0467
252.96,273.01,250.93,272.77,SE,6113959,HISTORICAL_PRICES,SE,2/22/2021,1.61406E+12,0.29021728,0.29021728,272.77,252.96,273.01,250.93,6113959,272.77,252.96,273.01,250.93,6113959,22-Feb-21,-27.04,-0.0966
251.81,255.9499,229.27,240.36,SE,7832162,HISTORICAL_PRICES,SE,2/23/2021,1.61413E+12,0.284351729,0.284351729,240.36,251.81,255.9499,229.27,7832162,240.36,251.81,255.9499,229.27,7832162,23-Feb-21,-1.15,-0.0045
248.04,254,240.64,253.11,SE,4219178,HISTORICAL_PRICES,SE,2/24/2021,1.61422E+12,0.265122922,0.265122922,253.11,248.04,254,240.64,4219178,253.11,248.04,254,240.64,4219178,24-Feb-21,-3.77,-0.015
235.35,250.8,232.0662,248,SE,4754732,HISTORICAL_PRICES,SE,2/25/2021,1.61431E+12,0.200397837,0.200397837,248,235.35,250.8,232.0662,4754732,248,235.35,250.8,232.0662,4754732,25-Feb-21,-12.69,-0.0512
235.69,242.85,225,235.91,SE,4502564,HISTORICAL_PRICES,SE,2/26/2021,1.61439E+12,0.202132,0.202132,235.91,235.69,242.85,225,4502564,235.91,235.69,242.85,225,4502564,26-Feb-21,0.34,0.0014
248.51,252.47,244.71,250.75,SE,4083036,HISTORICAL_PRICES,SE,3/1/2021,1.61465E+12,0.267520147,0.267520147,250.75,248.51,252.47,244.71,4083036,250.75,248.51,252.47,244.71,4083036,1-Mar-21,12.82,0.0544
250,276.02,246.25,270,SE,7843057,HISTORICAL_PRICES,SE,3/2/2021,1.61474E+12,0.275119861,0.275119861,270,250,276.02,246.25,7843057,270,250,276.02,246.25,7843057,2-Mar-21,1.49,0.006
251.28,260.41,246.5,259.36,SE,5080426,HISTORICAL_PRICES,SE,3/3/2021,1.61482E+12,0.281648475,0.281648475,259.36,251.28,260.41,246.5,5080426,259.36,251.28,260.41,246.5,5080426,3-Mar-21,1.28,0.0051
229.68,246.6741,218.44,239.62,SE,11574604,HISTORICAL_PRICES,SE,3/4/2021,1.61491E+12,0.171478119,0.171478119,239.62,229.68,246.6741,218.44,11574604,239.62,229.68,246.6741,218.44,11574604,4-Mar-21,-21.6,-0.086
229.76,231.29,209.2301,228.67,SE,9360519,HISTORICAL_PRICES,SE,3/5/2021,1.615E+12,0.171886157,0.171886157,228.67,229.76,231.29,209.2301,9360519,228.67,229.76,231.29,209.2301,9360519,5-Mar-21,0.08,0.0003
206.05,231.6,204.83,227.21,SE,8293290,HISTORICAL_PRICES,SE,3/8/2021,1.61526E+12,0.05095379,0.05095379,227.21,206.05,231.6,204.83,8293290,227.21,206.05,231.6,204.83,8293290,8-Mar-21,-23.71,-0.1032
228.47,229.99,216.09,222.99,SE,5949896,HISTORICAL_PRICES,SE,3/9/2021,1.61534E+12,0.165306539,0.165306539,222.99,228.47,229.99,216.09,5949896,222.99,228.47,229.99,216.09,5949896,9-Mar-21,22.42,0.1088
217.21,232.9,214.9102,226,SE,6311391,HISTORICAL_PRICES,SE,3/10/2021,1.61543E+12,0.10787514,0.10787514,226,217.21,232.9,214.9102,6311391,226,217.21,232.9,214.9102,6311391,10-Mar-21,-11.26,-0.0493
236.79,239.5,226,230.55,SE,6173550,HISTORICAL_PRICES,SE,3/11/2021,1.61551E+12,0.207742528,0.207742528,230.55,236.79,239.5,226,6173550,230.55,236.79,239.5,226,6173550,11-Mar-21,19.58,0.0901
234.99,235.17,222.08,230,SE,4015374,HISTORICAL_PRICES,SE,3/12/2021,1.6156E+12,0.198561665,0.198561665,230,234.99,235.17,222.08,4015374,230,234.99,235.17,222.08,4015374,12-Mar-21,-1.8,-0.0076
231.34,231.45,223.5,227.5,SE,3418867,HISTORICAL_PRICES,SE,3/15/2021,1.61586E+12,0.179944915,0.179944915,227.5,231.34,231.45,223.5,3418867,227.5,231.34,231.45,223.5,3418867,15-Mar-21,-3.65,-0.0155
233.46,242.38,228.7901,234.68,SE,3751404,HISTORICAL_PRICES,SE,3/16/2021,1.61594E+12,0.190757931,0.190757931,234.68,233.46,242.38,228.7901,3751404,234.68,233.46,242.38,228.7901,3751404,16-Mar-21,2.12,0.0092
224.35,229.7,214.5,226.9,SE,6356796,HISTORICAL_PRICES,SE,3/17/2021,1.61603E+12,0.144292564,0.144292564,226.9,224.35,229.7,214.5,6356796,226.9,224.35,229.7,214.5,6356796,17-Mar-21,-9.11,-0.039
211.26,218.98,209.565,216.45,SE,5062882,HISTORICAL_PRICES,SE,3/18/2021,1.61612E+12,0.077527288,0.077527288,216.45,211.26,218.98,209.565,5062882,216.45,211.26,218.98,209.565,5062882,18-Mar-21,-13.09,-0.0583
